METHOD;N;K;TIME;RMSE;n;nu_1;nu_2;theta_1;theta_2
coKNN;1000;5;26.750025749206543;0.1390211332750951;5000;0.5;0.5;2;2.5
NcoK KM;1000;5;55.702301263809204;0.1392397337090379;5000;0.5;0.5;2;2.5
NcoK KM+;1000;5;53.782466650009155;0.137827470069567;5000;0.5;0.5;2;2.5
coKNN;500;10;6.044638633728027;0.1390171308657529;5000;0.5;0.5;2;2.5
NcoK KM;500;10;28.900970220565796;0.1389429390696131;5000;0.5;0.5;2;2.5
NcoK KM+;500;10;28.683520317077637;0.13966703343699963;5000;0.5;0.5;2;2.5
coKNN;100;50;0.46826863288879395;0.1389608825147712;5000;0.5;0.5;2;2.5
NcoK KM;100;50;30.892210721969604;0.14018960624338098;5000;0.5;0.5;2;2.5
NcoK KM+;100;50;29.56868577003479;0.13933818673815887;5000;0.5;0.5;2;2.5
coKNN;10;500;0.10576748847961426;0.13990795281960777;5000;0.5;0.5;2;2.5
NcoK KM;10;500;74.29327940940857;0.1431572481035288;5000;0.5;0.5;2;2.5
NcoK KM+;10;500;73.501873254776;0.14245254383225814;5000;0.5;0.5;2;2.5
coKNN;5;1000;0.07835602760314941;0.14497560608030796;5000;0.5;0.5;2;2.5
NcoK KM;5;1000;161.13524341583252;0.143697785385236;5000;0.5;0.5;2;2.5
NcoK KM+;5;1000;160.981947183609;0.1412854020963545;5000;0.5;0.5;2;2.5
coK;5000;1;3.5836124420166016;0.13902641421908044;5000;0.5;0.5;2;2.5
coKNN;1000;5;14.786888360977173;0.12040563383104644;5000;0.5;0.5;2;2.5
NcoK KM;1000;5;47.535348415374756;0.12006612488040137;5000;0.5;0.5;2;2.5
NcoK KM+;1000;5;58.30245327949524;0.12039175733085648;5000;0.5;0.5;2;2.5
coKNN;500;10;9.681895732879639;0.12042378832021684;5000;0.5;0.5;2;2.5
NcoK KM;500;10;28.987627267837524;0.1219935317291849;5000;0.5;0.5;2;2.5
NcoK KM+;500;10;29.4683735370636;0.1210472988299924;5000;0.5;0.5;2;2.5
coKNN;100;50;0.46872448921203613;0.12016272893267269;5000;0.5;0.5;2;2.5
NcoK KM;100;50;28.218620777130127;0.1208147421111867;5000;0.5;0.5;2;2.5
NcoK KM+;100;50;28.06245493888855;0.12350841377428844;5000;0.5;0.5;2;2.5
coKNN;10;500;0.11612391471862793;0.12068357237085478;5000;0.5;0.5;2;2.5
NcoK KM;10;500;75.71238994598389;0.11845902780409549;5000;0.5;0.5;2;2.5
NcoK KM+;10;500;74.93508243560791;0.127511126130802;5000;0.5;0.5;2;2.5
coKNN;5;1000;0.06537556648254395;0.12541931317124366;5000;0.5;0.5;2;2.5
NcoK KM;5;1000;160.40849924087524;0.12033271186889041;5000;0.5;0.5;2;2.5
NcoK KM+;5;1000;159.51478576660156;0.12387960905551619;5000;0.5;0.5;2;2.5
coK;5000;1;3.543401002883911;0.12041778208563483;5000;0.5;0.5;2;2.5
coKNN;1000;5;15.260811805725098;0.12151957762985593;5000;0.5;0.5;2;2.5
NcoK KM;1000;5;47.58299493789673;0.12136784504724636;5000;0.5;0.5;2;2.5
NcoK KM+;1000;5;47.188841819763184;0.12186366082555355;5000;0.5;0.5;2;2.5
coKNN;500;10;3.8023271560668945;0.1215223915068546;5000;0.5;0.5;2;2.5
NcoK KM;500;10;43.247034311294556;0.11999760485878393;5000;0.5;0.5;2;2.5
NcoK KM+;500;10;28.147932052612305;0.12075198013017338;5000;0.5;0.5;2;2.5
coKNN;100;50;0.4697408676147461;0.12156365485995235;5000;0.5;0.5;2;2.5
NcoK KM;100;50;27.86790657043457;0.12371913634763256;5000;0.5;0.5;2;2.5
NcoK KM+;100;50;27.826229572296143;0.12493762829760785;5000;0.5;0.5;2;2.5
coKNN;10;500;0.12205982208251953;0.12652892285076847;5000;0.5;0.5;2;2.5
NcoK KM;10;500;73.50619292259216;0.12234264338585914;5000;0.5;0.5;2;2.5
NcoK KM+;10;500;73.13421154022217;0.12636470114392853;5000;0.5;0.5;2;2.5
coKNN;5;1000;0.07775235176086426;0.13092569632256545;5000;0.5;0.5;2;2.5
NcoK KM;5;1000;160.64841604232788;0.12602629470489768;5000;0.5;0.5;2;2.5
NcoK KM+;5;1000;160.46635103225708;0.12011699896290763;5000;0.5;0.5;2;2.5
coK;5000;1;3.5459890365600586;0.12151993120507044;5000;0.5;0.5;2;2.5
coKNN;1000;5;14.928947687149048;0.12158726278491105;5000;0.5;0.5;2;2.5
NcoK KM;1000;5;48.00140070915222;0.11927870279889126;5000;0.5;0.5;2;2.5
NcoK KM+;1000;5;47.907573223114014;0.12202964861773567;5000;0.5;0.5;2;2.5
coKNN;500;10;3.865108013153076;0.12160440829880113;5000;0.5;0.5;2;2.5
NcoK KM;500;10;28.508411169052124;0.12193581327385038;5000;0.5;0.5;2;2.5
NcoK KM+;500;10;29.083119869232178;0.1214848885766222;5000;0.5;0.5;2;2.5
