METHOD;N;K;TIME;RMSE;n;nu_1;nu_2;theta_1;theta_2
coKNN;100;50;0.44971609115600586;0.1214311882523325;5000;0.5;0.5;2;2.5
NcoK KM;100;50;28.18183135986328;0.12427027187212975;5000;0.5;0.5;2;2.5
NcoK KM+;100;50;27.501383781433105;0.12730844222105395;5000;0.5;0.5;2;2.5
coKNN;10;500;0.11872577667236328;0.12300781087951211;5000;0.5;0.5;2;2.5
NcoK KM;10;500;73.38378310203552;0.12909902509279556;5000;0.5;0.5;2;2.5
NcoK KM+;10;500;73.31639552116394;0.12333197382593362;5000;0.5;0.5;2;2.5
coKNN;5;1000;0.08045029640197754;0.12702049142848504;5000;0.5;0.5;2;2.5
NcoK KM;5;1000;161.11634612083435;0.12300008264584875;5000;0.5;0.5;2;2.5
NcoK KM+;5;1000;161.38719582557678;0.12807753958115856;5000;0.5;0.5;2;2.5
coK;5000;1;3.4817230701446533;0.121582454919126;5000;0.5;0.5;2;2.5
coKNN;1000;5;14.7191903591156;0.11264524839895812;5000;0.5;0.5;2;2.5
NcoK KM;1000;5;49.0462601184845;0.11196714538848777;5000;0.5;0.5;2;2.5
NcoK KM+;1000;5;48.36638808250427;0.11364141629760954;5000;0.5;0.5;2;2.5
coKNN;500;10;3.8822412490844727;0.11263883736246856;5000;0.5;0.5;2;2.5
NcoK KM;500;10;28.59739327430725;0.11366847342798833;5000;0.5;0.5;2;2.5
NcoK KM+;500;10;28.20168423652649;0.11368125112647091;5000;0.5;0.5;2;2.5
coKNN;100;50;0.4663381576538086;0.11266010291187822;5000;0.5;0.5;2;2.5
NcoK KM;100;50;27.87785530090332;0.11279458340496616;5000;0.5;0.5;2;2.5
NcoK KM+;100;50;27.86138939857483;0.11530681336212752;5000;0.5;0.5;2;2.5
coKNN;10;500;0.10598039627075195;0.11475100432187506;5000;0.5;0.5;2;2.5
NcoK KM;10;500;74.81844806671143;0.11210657448458124;5000;0.5;0.5;2;2.5
NcoK KM+;10;500;73.53574085235596;0.11696721654127289;5000;0.5;0.5;2;2.5
coKNN;5;1000;0.07871723175048828;0.11665273812503359;5000;0.5;0.5;2;2.5
NcoK KM;5;1000;167.0031304359436;0.11718372038121667;5000;0.5;0.5;2;2.5
NcoK KM+;5;1000;163.54925155639648;0.11853106393590136;5000;0.5;0.5;2;2.5
coK;5000;1;4.041807651519775;0.11264025189867591;5000;0.5;0.5;2;2.5
coKNN;1000;5;14.799705028533936;0.10572172369731861;5000;0.5;0.5;2;2.5
NcoK KM;1000;5;48.96590209007263;0.10609474335198706;5000;0.5;0.5;2;2.5
NcoK KM+;1000;5;48.384543895721436;0.10559274838787347;5000;0.5;0.5;2;2.5
coKNN;500;10;3.9328653812408447;0.10571578921289879;5000;0.5;0.5;2;2.5
NcoK KM;500;10;28.6475613117218;0.10643704535804455;5000;0.5;0.5;2;2.5
NcoK KM+;500;10;28.71220374107361;0.10878359121494127;5000;0.5;0.5;2;2.5
coKNN;100;50;0.43712425231933594;0.10576983966797981;5000;0.5;0.5;2;2.5
NcoK KM;100;50;27.85033416748047;0.10509794270453392;5000;0.5;0.5;2;2.5
NcoK KM+;100;50;30.133532762527466;0.10685528587892906;5000;0.5;0.5;2;2.5
coKNN;10;500;0.10873126983642578;0.11072333634272583;5000;0.5;0.5;2;2.5
NcoK KM;10;500;74.13819408416748;0.10615720748861068;5000;0.5;0.5;2;2.5
NcoK KM+;10;500;73.35510635375977;0.10822800067160716;5000;0.5;0.5;2;2.5
coKNN;5;1000;0.0788259506225586;0.11046525563156843;5000;0.5;0.5;2;2.5
NcoK KM;5;1000;160.15011835098267;0.11133283694855589;5000;0.5;0.5;2;2.5
NcoK KM+;5;1000;161.38877367973328;0.11100326764807678;5000;0.5;0.5;2;2.5
coK;5000;1;3.49782657623291;0.10572196763072671;5000;0.5;0.5;2;2.5
coKNN;1000;5;14.479684591293335;0.11895125212671098;5000;0.5;0.5;2;2.5
NcoK KM;1000;5;46.48845720291138;0.12014747587182115;5000;0.5;0.5;2;2.5
NcoK KM+;1000;5;46.72403359413147;0.12042218730155183;5000;0.5;0.5;2;2.5
coKNN;500;10;3.829713821411133;0.11893574904628457;5000;0.5;0.5;2;2.5
NcoK KM;500;10;27.997887134552002;0.1183241336063425;5000;0.5;0.5;2;2.5
NcoK KM+;500;10;28.703907012939453;0.11839002749161787;5000;0.5;0.5;2;2.5
coKNN;100;50;0.45072317123413086;0.11893455187832055;5000;0.5;0.5;2;2.5
NcoK KM;100;50;27.73151397705078;0.12069712024191141;5000;0.5;0.5;2;2.5
NcoK KM+;100;50;27.914180278778076;0.12070528027755917;5000;0.5;0.5;2;2.5
coKNN;10;500;0.11784219741821289;0.12116768543059767;5000;0.5;0.5;2;2.5
NcoK KM;10;500;73.2774670124054;0.12328538319879564;5000;0.5;0.5;2;2.5
NcoK KM+;10;500;73.35039281845093;0.12066006912086746;5000;0.5;0.5;2;2.5
coKNN;5;1000;0.07823991775512695;0.11947434588584951;5000;0.5;0.5;2;2.5
NcoK KM;5;1000;159.62831664085388;0.11931492619418269;5000;0.5;0.5;2;2.5
NcoK KM+;5;1000;161.07790684700012;0.11950962057249766;5000;0.5;0.5;2;2.5
coK;5000;1;3.5195257663726807;0.11895197650265249;5000;0.5;0.5;2;2.5
coKNN;1000;5;14.383041620254517;0.11817302282463317;5000;0.5;0.5;2;2.5
NcoK KM;1000;5;48.23000407218933;0.1195760579493957;5000;0.5;0.5;2;2.5
NcoK KM+;1000;5;48.52677321434021;0.11844035099519905;5000;0.5;0.5;2;2.5
coKNN;500;10;3.8907253742218018;0.11815900091267062;5000;0.5;0.5;2;2.5
NcoK KM;500;10;28.84838843345642;0.11747709662180476;5000;0.5;0.5;2;2.5
NcoK KM+;500;10;29.084938287734985;0.11557630491998448;5000;0.5;0.5;2;2.5
coKNN;100;50;0.46515464782714844;0.11827850015403081;5000;0.5;0.5;2;2.5
NcoK KM;100;50;27.935022115707397;0.1214765753285242;5000;0.5;0.5;2;2.5
NcoK KM+;100;50;28.117415189743042;0.12050869215308047;5000;0.5;0.5;2;2.5
coKNN;10;500;0.09982752799987793;0.12038294692562831;5000;0.5;0.5;2;2.5
NcoK KM;10;500;74.18834829330444;0.1220190956600641;5000;0.5;0.5;2;2.5
NcoK KM+;10;500;73.29787993431091;0.12113914287498359;5000;0.5;0.5;2;2.5
coKNN;5;1000;0.08168935775756836;0.11542353006262451;5000;0.5;0.5;2;2.5
NcoK KM;5;1000;161.55633783340454;0.12464102737636518;5000;0.5;0.5;2;2.5
NcoK KM+;5;1000;162.07807326316833;0.11982703175418287;5000;0.5;0.5;2;2.5
coK;5000;1;3.519514799118042;0.11814995199022357;5000;0.5;0.5;2;2.5
coKNN;1000;5;14.993803024291992;0.11908570382276555;5000;0.5;0.5;2;2.5
NcoK KM;1000;5;47.11366271972656;0.11946048488431105;5000;0.5;0.5;2;2.5
NcoK KM+;1000;5;47.24028301239014;0.11872400019805426;5000;0.5;0.5;2;2.5
coKNN;500;10;3.817460536956787;0.11908963904636156;5000;0.5;0.5;2;2.5
NcoK KM;500;10;28.333609342575073;0.119721524041132;5000;0.5;0.5;2;2.5
NcoK KM+;500;10;28.151984453201294;0.11896886180639785;5000;0.5;0.5;2;2.5
coKNN;100;50;0.46918559074401855;0.11924133076032588;5000;0.5;0.5;2;2.5
NcoK KM;100;50;27.879350185394287;0.11944904710810113;5000;0.5;0.5;2;2.5
NcoK KM+;100;50;27.998194217681885;0.12352453186928038;5000;0.5;0.5;2;2.5
coKNN;10;500;0.12036561965942383;0.1193246126380057;5000;0.5;0.5;2;2.5
NcoK KM;10;500;73.33473920822144;0.12128246785413996;5000;0.5;0.5;2;2.5
NcoK KM+;10;500;72.79966235160828;0.12674908640274388;5000;0.5;0.5;2;2.5
coKNN;5;1000;0.06677985191345215;0.12877761484688735;5000;0.5;0.5;2;2.5
NcoK KM;5;1000;160.00021052360535;0.12521802796800982;5000;0.5;0.5;2;2.5
NcoK KM+;5;1000;160.9665548801422;0.1261959734476029;5000;0.5;0.5;2;2.5
coK;5000;1;3.5339467525482178;0.11910038023952318;5000;0.5;0.5;2;2.5
coKNN;1000;5;14.619860649108887;0.09921467419984507;5000;0.5;0.5;2;2.5
NcoK KM;1000;5;46.868213176727295;0.10043941650606457;5000;0.5;0.5;2;2.5
NcoK KM+;1000;5;50.0015332698822;0.09800658207206243;5000;0.5;0.5;2;2.5
coKNN;500;10;3.8653934001922607;0.09920944995194479;5000;0.5;0.5;2;2.5
NcoK KM;500;10;28.569430112838745;0.10133864494611562;5000;0.5;0.5;2;2.5
NcoK KM+;500;10;28.664177417755127;0.10149910311941596;5000;0.5;0.5;2;2.5
coKNN;100;50;0.5067980289459229;0.09928292837488942;5000;0.5;0.5;2;2.5
NcoK KM;100;50;28.12887740135193;0.10251371157321439;5000;0.5;0.5;2;2.5
NcoK KM+;100;50;27.6517117023468;0.10205263344841232;5000;0.5;0.5;2;2.5
coKNN;10;500;0.12116718292236328;0.1016804645176407;5000;0.5;0.5;2;2.5
NcoK KM;10;500;73.0855176448822;0.10438613345945157;5000;0.5;0.5;2;2.5
NcoK KM+;10;500;73.15219473838806;0.10444289400393549;5000;0.5;0.5;2;2.5
coKNN;5;1000;0.07809114456176758;0.10348693612013622;5000;0.5;0.5;2;2.5
NcoK KM;5;1000;160.5857207775116;0.10589766423095703;5000;0.5;0.5;2;2.5
NcoK KM+;5;1000;162.59851026535034;0.10812439484739164;5000;0.5;0.5;2;2.5
coK;5000;1;3.4995508193969727;0.09921086793783898;5000;0.5;0.5;2;2.5
coKNN;1000;5;14.363982200622559;0.12643181013948634;5000;0.5;0.5;2;2.5
NcoK KM;1000;5;46.70298218727112;0.12647022390117507;5000;0.5;0.5;2;2.5
NcoK KM+;1000;5;47.33413219451904;0.12747692704234817;5000;0.5;0.5;2;2.5
coKNN;500;10;3.7989065647125244;0.12646185348776137;5000;0.5;0.5;2;2.5
NcoK KM;500;10;28.28242039680481;0.1270149549596288;5000;0.5;0.5;2;2.5
NcoK KM+;500;10;28.36559510231018;0.12650753860560204;5000;0.5;0.5;2;2.5
coKNN;100;50;0.5037224292755127;0.12634066257773646;5000;0.5;0.5;2;2.5
NcoK KM;100;50;27.85472059249878;0.12981824819129298;5000;0.5;0.5;2;2.5
NcoK KM+;100;50;27.747819423675537;0.13064539992287197;5000;0.5;0.5;2;2.5
coKNN;10;500;0.11277294158935547;0.12497774845403899;5000;0.5;0.5;2;2.5
NcoK KM;10;500;74.5578966140747;0.13192751719388982;5000;0.5;0.5;2;2.5
NcoK KM+;10;500;73.61931705474854;0.12964658749512278;5000;0.5;0.5;2;2.5
coKNN;5;1000;0.08304786682128906;0.12822154774542047;5000;0.5;0.5;2;2.5
NcoK KM;5;1000;160.15236949920654;0.13303577553547266;5000;0.5;0.5;2;2.5
NcoK KM+;5;1000;160.91766214370728;0.13073127359920914;5000;0.5;0.5;2;2.5
coK;5000;1;3.500488042831421;0.12643305579217157;5000;0.5;0.5;2;2.5
coKNN;1000;5;14.26690411567688;0.11485173023042826;5000;0.5;0.5;2;2.5
NcoK KM;1000;5;47.20176291465759;0.11431812629315902;5000;0.5;0.5;2;2.5
NcoK KM+;1000;5;46.81482410430908;0.1144195757903883;5000;0.5;0.5;2;2.5
coKNN;500;10;3.7867109775543213;0.11485608096509457;5000;0.5;0.5;2;2.5
NcoK KM;500;10;27.996257066726685;0.11621377598123188;5000;0.5;0.5;2;2.5
NcoK KM+;500;10;28.166386127471924;0.11325002085031564;5000;0.5;0.5;2;2.5
coKNN;100;50;0.45034170150756836;0.11496031820798992;5000;0.5;0.5;2;2.5
NcoK KM;100;50;27.28873896598816;0.1184535279387135;5000;0.5;0.5;2;2.5
NcoK KM+;100;50;28.160317182540894;0.11662276614783529;5000;0.5;0.5;2;2.5
coKNN;10;500;0.13152313232421875;0.11631160188991814;5000;0.5;0.5;2;2.5
NcoK KM;10;500;73.34955477714539;0.1188809969091479;5000;0.5;0.5;2;2.5
NcoK KM+;10;500;73.38360381126404;0.1170493420498073;5000;0.5;0.5;2;2.5
coKNN;5;1000;0.08348417282104492;0.11783401171621316;5000;0.5;0.5;2;2.5
NcoK KM;5;1000;162.50635957717896;0.11413573799329216;5000;0.5;0.5;2;2.5
NcoK KM+;5;1000;161.11782002449036;0.11445870045633087;5000;0.5;0.5;2;2.5
coK;5000;1;3.499133348464966;0.11486899673772465;5000;0.5;0.5;2;2.5
coKNN;1000;5;14.494529485702515;0.12358826452657957;5000;0.5;0.5;2;2.5
NcoK KM;1000;5;46.4597704410553;0.12418398113725443;5000;0.5;0.5;2;2.5
NcoK KM+;1000;5;46.45487093925476;0.12340359126604561;5000;0.5;0.5;2;2.5
coKNN;500;10;3.8175392150878906;0.12358245861116933;5000;0.5;0.5;2;2.5
NcoK KM;500;10;29.07393741607666;0.1278414081072498;5000;0.5;0.5;2;2.5
NcoK KM+;500;10;28.204635858535767;0.12376514065960191;5000;0.5;0.5;2;2.5
coKNN;100;50;0.45261669158935547;0.12338810882574847;5000;0.5;0.5;2;2.5
NcoK KM;100;50;28.063872575759888;0.12215042171915488;5000;0.5;0.5;2;2.5
NcoK KM+;100;50;27.779274940490723;0.12372505178299621;5000;0.5;0.5;2;2.5
coKNN;10;500;0.10435104370117188;0.12015345791293555;5000;0.5;0.5;2;2.5
NcoK KM;10;500;73.26712250709534;0.1304918681192127;5000;0.5;0.5;2;2.5
NcoK KM+;10;500;72.81685996055603;0.12968562899775968;5000;0.5;0.5;2;2.5
coKNN;5;1000;0.08374261856079102;0.11676145281559949;5000;0.5;0.5;2;2.5
NcoK KM;5;1000;159.25440645217896;0.12605449613641956;5000;0.5;0.5;2;2.5
NcoK KM+;5;1000;162.455260515213;0.12461798229378154;5000;0.5;0.5;2;2.5
coK;5000;1;3.545682191848755;0.12358384096360311;5000;0.5;0.5;2;2.5
coKNN;1000;5;14.96499228477478;0.12365333983241783;5000;0.5;0.5;2;2.5
NcoK KM;1000;5;48.551775217056274;0.12376655491398246;5000;0.5;0.5;2;2.5
NcoK KM+;1000;5;47.03176927566528;0.12381605929755497;5000;0.5;0.5;2;2.5
coKNN;500;10;3.7872462272644043;0.12364010784699757;5000;0.5;0.5;2;2.5
NcoK KM;500;10;28.2343168258667;0.1236453590198605;5000;0.5;0.5;2;2.5
NcoK KM+;500;10;27.865652561187744;0.12089183507444708;5000;0.5;0.5;2;2.5
coKNN;100;50;0.4539964199066162;0.12363350962993785;5000;0.5;0.5;2;2.5
NcoK KM;100;50;27.76353693008423;0.12652414397682052;5000;0.5;0.5;2;2.5
NcoK KM+;100;50;27.65703320503235;0.12595318450672427;5000;0.5;0.5;2;2.5
coKNN;10;500;0.1066286563873291;0.12618036431920143;5000;0.5;0.5;2;2.5
NcoK KM;10;500;73.12273383140564;0.12615115846652053;5000;0.5;0.5;2;2.5
NcoK KM+;10;500;73.25211977958679;0.12390876193885281;5000;0.5;0.5;2;2.5
coKNN;5;1000;0.08040022850036621;0.12759747866425766;5000;0.5;0.5;2;2.5
NcoK KM;5;1000;163.2402160167694;0.12437578006644198;5000;0.5;0.5;2;2.5
NcoK KM+;5;1000;161.78014302253723;0.11922872590729292;5000;0.5;0.5;2;2.5
coK;5000;1;3.479795217514038;0.12366158640055366;5000;0.5;0.5;2;2.5
coKNN;1000;5;13.699468612670898;0.12096531083764947;5000;0.5;0.5;2;2.5
NcoK KM;1000;5;45.566166639328;0.12084921509019324;5000;0.5;0.5;2;2.5
NcoK KM+;1000;5;46.29552960395813;0.1203208857459451;5000;0.5;0.5;2;2.5
coKNN;500;10;3.606536388397217;0.12096913864419243;5000;0.5;0.5;2;2.5
NcoK KM;500;10;27.35035252571106;0.12076094635489244;5000;0.5;0.5;2;2.5
NcoK KM+;500;10;33.84858226776123;0.12141158440446205;5000;0.5;0.5;2;2.5
coKNN;100;50;0.47078442573547363;0.12093784751143367;5000;0.5;0.5;2;2.5
NcoK KM;100;50;27.826523065567017;0.12373514004203255;5000;0.5;0.5;2;2.5
NcoK KM+;100;50;27.744693756103516;0.12389009031011004;5000;0.5;0.5;2;2.5
coKNN;10;500;0.11641502380371094;0.12335657024092593;5000;0.5;0.5;2;2.5
NcoK KM;10;500;72.28436136245728;0.12207227245103747;5000;0.5;0.5;2;2.5
NcoK KM+;10;500;72.38609480857849;0.11925106639849858;5000;0.5;0.5;2;2.5
coKNN;5;1000;0.07985830307006836;0.13211189133326404;5000;0.5;0.5;2;2.5
NcoK KM;5;1000;158.73429656028748;0.12127725022906195;5000;0.5;0.5;2;2.5
NcoK KM+;5;1000;159.3848433494568;0.12334285473934;5000;0.5;0.5;2;2.5
coK;5000;1;3.500278949737549;0.12096606281754098;5000;0.5;0.5;2;2.5
coKNN;1000;5;14.144961833953857;0.10490415577674853;5000;0.5;0.5;2;2.5
NcoK KM;1000;5;48.3016459941864;0.1048245560659384;5000;0.5;0.5;2;2.5
NcoK KM+;1000;5;48.06855821609497;0.10625814048605478;5000;0.5;0.5;2;2.5
coKNN;500;10;4.070652484893799;0.1049027881348197;5000;0.5;0.5;2;2.5
NcoK KM;500;10;27.78138542175293;0.10646812456665487;5000;0.5;0.5;2;2.5
NcoK KM+;500;10;27.868402242660522;0.10399513520171462;5000;0.5;0.5;2;2.5
coKNN;100;50;0.4316670894622803;0.10486684017864195;5000;0.5;0.5;2;2.5
NcoK KM;100;50;27.225704431533813;0.10142188890247045;5000;0.5;0.5;2;2.5
NcoK KM+;100;50;27.15371012687683;0.10274609742906525;5000;0.5;0.5;2;2.5
coKNN;10;500;0.10074496269226074;0.10853671758793033;5000;0.5;0.5;2;2.5
NcoK KM;10;500;72.06529331207275;0.10991790127753956;5000;0.5;0.5;2;2.5
NcoK KM+;10;500;73.35172438621521;0.10805120463878119;5000;0.5;0.5;2;2.5
coKNN;5;1000;0.0669717788696289;0.11780890976731768;5000;0.5;0.5;2;2.5
NcoK KM;5;1000;159.09868931770325;0.10761720501940343;5000;0.5;0.5;2;2.5
NcoK KM+;5;1000;158.96704721450806;0.11749619874691944;5000;0.5;0.5;2;2.5
coK;5000;1;3.4989113807678223;0.10489671152697842;5000;0.5;0.5;2;2.5
coKNN;1000;5;14.227383136749268;0.1255795758251745;5000;0.5;0.5;2;2.5
NcoK KM;1000;5;45.83212685585022;0.1237718499972033;5000;0.5;0.5;2;2.5
NcoK KM+;1000;5;46.03416347503662;0.1261491596163341;5000;0.5;0.5;2;2.5
coKNN;500;10;3.6652560234069824;0.12558252669534617;5000;0.5;0.5;2;2.5
NcoK KM;500;10;27.851980447769165;0.12687920302214367;5000;0.5;0.5;2;2.5
NcoK KM+;500;10;27.851717472076416;0.12775424097379964;5000;0.5;0.5;2;2.5
coKNN;100;50;0.4514923095703125;0.12556196522054044;5000;0.5;0.5;2;2.5
NcoK KM;100;50;27.350738286972046;0.12732907829438916;5000;0.5;0.5;2;2.5
NcoK KM+;100;50;27.284610509872437;0.12695099831322262;5000;0.5;0.5;2;2.5
coKNN;10;500;0.11574196815490723;0.12876091420162133;5000;0.5;0.5;2;2.5
NcoK KM;10;500;72.04746627807617;0.1277426986832043;5000;0.5;0.5;2;2.5
NcoK KM+;10;500;72.63999152183533;0.12543628099575013;5000;0.5;0.5;2;2.5
coKNN;5;1000;0.0668344497680664;0.13424117220937107;5000;0.5;0.5;2;2.5
NcoK KM;5;1000;158.79494786262512;0.1334358564083008;5000;0.5;0.5;2;2.5
NcoK KM+;5;1000;159.5986783504486;0.1308987566652402;5000;0.5;0.5;2;2.5
coK;5000;1;3.517139434814453;0.12557845409822732;5000;0.5;0.5;2;2.5
coKNN;1000;5;13.833675861358643;0.10303471967717544;5000;0.5;0.5;2;2.5
NcoK KM;1000;5;46.596590518951416;0.10376546659154777;5000;0.5;0.5;2;2.5
NcoK KM+;1000;5;46.21551752090454;0.10431888190119147;5000;0.5;0.5;2;2.5
coKNN;500;10;3.6242687702178955;0.10304008661612284;5000;0.5;0.5;2;2.5
NcoK KM;500;10;27.82932162284851;0.10708227829202062;5000;0.5;0.5;2;2.5
NcoK KM+;500;10;27.647321701049805;0.10703482740900906;5000;0.5;0.5;2;2.5
coKNN;100;50;0.44237351417541504;0.10303020201892657;5000;0.5;0.5;2;2.5
NcoK KM;100;50;27.714877605438232;0.10630011286986707;5000;0.5;0.5;2;2.5
NcoK KM+;100;50;28.111558437347412;0.10487320509700516;5000;0.5;0.5;2;2.5
coKNN;10;500;0.13825178146362305;0.1067736687259473;5000;0.5;0.5;2;2.5
NcoK KM;10;500;72.43835210800171;0.1109568658271659;5000;0.5;0.5;2;2.5
NcoK KM+;10;500;72.48771142959595;0.10988251177948363;5000;0.5;0.5;2;2.5
coKNN;5;1000;0.07947897911071777;0.10904738278196206;5000;0.5;0.5;2;2.5
NcoK KM;5;1000;159.29708194732666;0.11105400685818595;5000;0.5;0.5;2;2.5
NcoK KM+;5;1000;159.32096123695374;0.11027623038625872;5000;0.5;0.5;2;2.5
coK;5000;1;3.4644312858581543;0.10303860569299879;5000;0.5;0.5;2;2.5
coKNN;1000;5;13.580949544906616;0.11142342494332064;5000;0.5;0.5;2;2.5
NcoK KM;1000;5;46.2606680393219;0.11140824159348452;5000;0.5;0.5;2;2.5
NcoK KM+;1000;5;48.073750734329224;0.11195596129727044;5000;0.5;0.5;2;2.5
coKNN;500;10;3.582764148712158;0.11142121335825148;5000;0.5;0.5;2;2.5
NcoK KM;500;10;29.213738441467285;0.11355547705505024;5000;0.5;0.5;2;2.5
NcoK KM+;500;10;27.86234402656555;0.11026847587165033;5000;0.5;0.5;2;2.5
coKNN;100;50;0.4495706558227539;0.11144373671145993;5000;0.5;0.5;2;2.5
NcoK KM;100;50;27.693960666656494;0.11241785544168338;5000;0.5;0.5;2;2.5
NcoK KM+;100;50;27.469398975372314;0.110370491394059;5000;0.5;0.5;2;2.5
coKNN;10;500;0.11261510848999023;0.10904233449751298;5000;0.5;0.5;2;2.5
NcoK KM;10;500;72.38668441772461;0.11018982813292914;5000;0.5;0.5;2;2.5
NcoK KM+;10;500;72.71320080757141;0.11542471896270297;5000;0.5;0.5;2;2.5
coKNN;5;1000;0.08309555053710938;0.11052614018677889;5000;0.5;0.5;2;2.5
NcoK KM;5;1000;158.77114844322205;0.11325642017303342;5000;0.5;0.5;2;2.5
NcoK KM+;5;1000;159.08351516723633;0.11227673486245794;5000;0.5;0.5;2;2.5
coK;5000;1;3.4999592304229736;0.11142859626029405;5000;0.5;0.5;2;2.5
coKNN;1000;5;13.916015386581421;0.12446430109348824;5000;0.5;0.5;2;2.5
NcoK KM;1000;5;47.78140354156494;0.12328171943849904;5000;0.5;0.5;2;2.5
NcoK KM+;1000;5;46.49654173851013;0.12446332572930661;5000;0.5;0.5;2;2.5
coKNN;500;10;3.6191985607147217;0.1244890350201763;5000;0.5;0.5;2;2.5
