METHOD;N;K;TIME;RMSE;a
NcoK;20;50;3.0852630138397217;0.4420112650904853;[0.1 0.1]
coKNN;10;100;0.0519437789916992;0.4583102725744375;[0.1 0.1]
NcoK;10;100;3.266878843307495;0.4486833118561333;[0.1 0.1]
coKNN;5;200;0.0314655303955078;0.4570357507232288;[0.1 0.1]
NcoK;5;200;5.797146081924439;0.4386512296623099;[0.1 0.1]
coK;1000;1;0.0863502025604248;0.4426716006669632;[0.1 0.1]
coKNN;100;10;0.4571893215179443;0.3707979407324251;[0.1 0.1]
NcoK;100;10;4.395442008972168;0.3782983906293395;[0.1 0.1]
coKNN;50;20;0.2003674507141113;0.3853382643326872;[0.1 0.1]
NcoK;50;20;3.6030056476593018;0.3922834196951572;[0.1 0.1]
coKNN;20;50;0.0683262348175048;0.3891535288416153;[0.1 0.1]
NcoK;20;50;2.915076732635498;0.3941277723977047;[0.1 0.1]
coKNN;10;100;0.0365443229675293;0.3918013171768493;[0.1 0.1]
NcoK;10;100;2.9968807697296143;0.3883319536906224;[0.1 0.1]
coKNN;5;200;0.0392932891845703;0.3941982595529605;[0.1 0.1]
NcoK;5;200;4.802494764328003;0.371047913810635;[0.1 0.1]
coK;1000;1;0.0791420936584472;0.3721187466662138;[0.1 0.1]
coKNN;100;10;0.4315254688262939;0.3754459451297442;[0.1 0.1]
NcoK;100;10;3.902693510055542;0.3807716548853205;[0.1 0.1]
coKNN;50;20;0.1939842700958252;0.3910527642026626;[0.1 0.1]
NcoK;50;20;3.52268123626709;0.3811488820898715;[0.1 0.1]
coKNN;20;50;0.0783474445343017;0.3876690098218682;[0.1 0.1]
NcoK;20;50;2.928425073623657;0.385039356035775;[0.1 0.1]
coKNN;10;100;0.0379626750946044;0.386620856540134;[0.1 0.1]
NcoK;10;100;3.0664870738983154;0.3859223932791315;[0.1 0.1]
coKNN;5;200;0.0316412448883056;0.3805082997242509;[0.1 0.1]
NcoK;5;200;4.85073447227478;0.3901384761482099;[0.1 0.1]
coK;1000;1;0.0821599960327148;0.3741205035927176;[0.1 0.1]
coKNN;100;10;0.432415246963501;0.3816944460092789;[0.1 0.1]
NcoK;100;10;3.9656729698181152;0.3824801639583957;[0.1 0.1]
coKNN;50;20;0.1684739589691162;0.3837575259871959;[0.1 0.1]
NcoK;50;20;3.4011876583099365;0.3927377573602623;[0.1 0.1]
coKNN;20;50;0.0809721946716308;0.3909543105896909;[0.1 0.1]
NcoK;20;50;2.8816440105438232;0.409822657211307;[0.1 0.1]
coKNN;10;100;0.0469892024993896;0.3912035237342073;[0.1 0.1]
NcoK;10;100;3.0805599689483643;0.3991562478935878;[0.1 0.1]
coKNN;5;200;0.0157098770141601;0.4008892395999889;[0.1 0.1]
NcoK;5;200;4.7890729904174805;0.3990680359523812;[0.1 0.1]
coK;1000;1;0.0835635662078857;0.3823322426791296;[0.1 0.1]
coKNN;100;10;0.4318399429321289;0.4176079158387638;[0.1 0.1]
NcoK;100;10;6.419607400894165;0.437411067000937;[0.1 0.1]
coKNN;50;20;0.1779532432556152;0.4253329237199097;[0.1 0.1]
NcoK;50;20;3.4787001609802246;0.4197271074727786;[0.1 0.1]
coKNN;20;50;0.0691468715667724;0.4393111784662828;[0.1 0.1]
NcoK;20;50;2.920917272567749;0.4254369955507081;[0.1 0.1]
coKNN;10;100;0.0327136516571044;0.4327505706042354;[0.1 0.1]
NcoK;10;100;3.0342843532562256;0.4313004088040942;[0.1 0.1]
coKNN;5;200;0.0157258510589599;0.4415516560261305;[0.1 0.1]
NcoK;5;200;4.83038067817688;0.4243930850583837;[0.1 0.1]
coK;1000;1;0.0856068134307861;0.4170927055059236;[0.1 0.1]
coKNN;100;10;0.4468247890472412;0.3978478272199076;[0.1 0.1]
NcoK;100;10;4.051995277404785;0.3995445333131243;[0.1 0.1]
coKNN;50;20;0.1845824718475341;0.4115473672355967;[0.1 0.1]
NcoK;50;20;3.419214963912964;0.4099592999919569;[0.1 0.1]
coKNN;20;50;0.0783770084381103;0.4215437005972994;[0.1 0.1]
NcoK;20;50;2.896594285964966;0.4143263437915742;[0.1 0.1]
coKNN;10;100;0.0368978977203369;0.4180076045166485;[0.1 0.1]
NcoK;10;100;3.034740686416626;0.4155764756556976;[0.1 0.1]
coKNN;5;200;0.0318481922149658;0.4354229639233502;[0.1 0.1]
NcoK;5;200;4.967222929000855;0.4058664656226513;[0.1 0.1]
coK;1000;1;0.0896112918853759;0.3972368820194303;[0.1 0.1]
coKNN;100;10;0.4519529342651367;0.3998785274476213;[0.1 0.1]
NcoK;100;10;3.865611076354981;0.4162645773147984;[0.1 0.1]
coKNN;50;20;0.1847820281982422;0.4246487650239703;[0.1 0.1]
NcoK;50;20;3.705211877822876;0.4102600510320802;[0.1 0.1]
coKNN;20;50;0.0748128890991211;0.4247213240625511;[0.1 0.1]
NcoK;20;50;2.929532766342163;0.4100314326291419;[0.1 0.1]
coKNN;10;100;0.053171157836914;0.4273539296752162;[0.1 0.1]
NcoK;10;100;3.098555326461792;0.4045815394110042;[0.1 0.1]
coKNN;5;200;0.0319509506225585;0.4368510343902012;[0.1 0.1]
NcoK;5;200;4.878862619400024;0.393358839289276;[0.1 0.1]
coK;1000;1;0.0858078002929687;0.4017032273522581;[0.1 0.1]
coKNN;100;10;0.436718225479126;0.4110739812949018;[0.1 0.1]
NcoK;100;10;4.0297675132751465;0.4112341553892867;[0.1 0.1]
coKNN;50;20;0.1846132278442382;0.4186876214097212;[0.1 0.1]
NcoK;50;20;3.47095251083374;0.4144442610195191;[0.1 0.1]
coKNN;20;50;0.0626602172851562;0.4300097846866008;[0.1 0.1]
NcoK;20;50;2.922514200210572;0.416917722014815;[0.1 0.1]
coKNN;10;100;0.0473778247833251;0.4295737845548119;[0.1 0.1]
NcoK;10;100;2.9956462383270264;0.3998528573577705;[0.1 0.1]
coKNN;5;200;0.03182053565979;0.42310733317194;[0.1 0.1]
NcoK;5;200;4.810094833374023;0.4049653597548083;[0.1 0.1]
coK;1000;1;0.070026159286499;0.4092271521361127;[0.1 0.1]
coKNN;100;10;0.4519839286804199;0.3773746876989053;[0.1 0.1]
NcoK;100;10;3.897150278091431;0.3886966322735138;[0.1 0.1]
coKNN;50;20;0.1846814155578613;0.4066621475564893;[0.1 0.1]
NcoK;50;20;3.437445878982544;0.3890608088521659;[0.1 0.1]
coKNN;20;50;0.0783600807189941;0.4088038957260922;[0.1 0.1]
NcoK;20;50;2.9036636352539062;0.3862153373432089;[0.1 0.1]
coKNN;10;100;0.0470461845397949;0.4129616489106802;[0.1 0.1]
NcoK;10;100;3.0448203086853027;0.3917432631466419;[0.1 0.1]
coKNN;5;200;0.0221939086914062;0.4326595437938554;[0.1 0.1]
NcoK;5;200;4.83727765083313;0.390275917817014;[0.1 0.1]
coK;1000;1;0.0817921161651611;0.3766675441804609;[0.1 0.1]
coKNN;100;10;0.445401668548584;0.4000747391290948;[0.1 0.1]
NcoK;100;10;3.93550157546997;0.3977000395239723;[0.1 0.1]
coKNN;50;20;0.1849737167358398;0.4072242109055665;[0.1 0.1]
NcoK;50;20;3.4684484004974365;0.4001857284249984;[0.1 0.1]
coKNN;20;50;0.0626840591430664;0.3964901987487328;[0.1 0.1]
NcoK;20;50;2.981917381286621;0.4025710352411935;[0.1 0.1]
coKNN;10;100;0.0472996234893798;0.4043059855871265;[0.1 0.1]
NcoK;10;100;3.114938735961914;0.4125502239400022;[0.1 0.1]
coKNN;5;200;0.0227918624877929;0.4060555149207513;[0.1 0.1]
NcoK;5;200;4.887471914291382;0.4104321532470086;[0.1 0.1]
coK;1000;1;0.0836973190307617;0.4018221800910706;[0.1 0.1]
coKNN;100;10;0.4301736354827881;0.4571962319131963;[0.1 0.1]
NcoK;100;10;3.9637680053710938;0.4624360418188326;[0.1 0.1]
coKNN;50;20;0.1852281093597412;0.4790945437014299;[0.1 0.1]
NcoK;50;20;3.4856178760528564;0.4772321624166817;[0.1 0.1]
coKNN;20;50;0.0626873970031738;0.4679505603241632;[0.1 0.1]
NcoK;20;50;2.888457775115967;0.4471503102773676;[0.1 0.1]
coKNN;10;100;0.0469696521759033;0.4734626610622833;[0.1 0.1]
NcoK;10;100;2.983102798461914;0.4449458801487328;[0.1 0.1]
coKNN;5;200;0.0389046669006347;0.4700484385488696;[0.1 0.1]
NcoK;5;200;4.985042095184326;0.4445090760731609;[0.1 0.1]
coK;1000;1;0.0802211761474609;0.4578166354949779;[0.1 0.1]
coKNN;100;10;0.4490983486175537;0.3701381794177997;[0.1 0.1]
NcoK;100;10;3.984439611434937;0.3868761679929415;[0.1 0.1]
coKNN;50;20;0.18418550491333;0.386917671153297;[0.1 0.1]
NcoK;50;20;3.431856632232666;0.386918174307162;[0.1 0.1]
coKNN;20;50;0.0678987503051757;0.4003239356538354;[0.1 0.1]
NcoK;20;50;2.9137752056121826;0.3933317087753999;[0.1 0.1]
coKNN;10;100;0.0382721424102783;0.3964027345729844;[0.1 0.1]
NcoK;10;100;3.0387661457061768;0.4044270083533996;[0.1 0.1]
coKNN;5;200;0.0158984661102294;0.3988856536527649;[0.1 0.1]
NcoK;5;200;5.133522748947144;0.3945661483819467;[0.1 0.1]
coK;1000;1;0.0795032978057861;0.371929829735853;[0.1 0.1]
coKNN;100;10;0.4627041816711426;0.3846842331591058;[0.1 0.1]
NcoK;100;10;3.8492958545684814;0.3824122469993267;[0.1 0.1]
coKNN;50;20;0.1846523284912109;0.3875648189358239;[0.1 0.1]
NcoK;50;20;3.470829963684082;0.3724240116394189;[0.1 0.1]
coKNN;20;50;0.0783412456512451;0.4039348447623875;[0.1 0.1]
NcoK;20;50;2.92872953414917;0.3847653743312458;[0.1 0.1]
coKNN;10;100;0.0474684238433837;0.3966371460643725;[0.1 0.1]
NcoK;10;100;3.0837323665618896;0.3883132931306353;[0.1 0.1]
coKNN;5;200;0.0318965911865234;0.3990240719411765;[0.1 0.1]
NcoK;5;200;4.96703839302063;0.3711919433032142;[0.1 0.1]
coK;1000;1;0.0720689296722412;0.3883038655697811;[0.1 0.1]
coKNN;100;10;0.477783203125;0.3621701717452685;[0.1 0.1]
NcoK;100;10;3.903080940246582;0.3616996522637426;[0.1 0.1]
coKNN;50;20;0.1777446269989013;0.3712970003500589;[0.1 0.1]
NcoK;50;20;3.46424412727356;0.3744167367062197;[0.1 0.1]
coKNN;20;50;0.0667219161987304;0.3745522399401691;[0.1 0.1]
NcoK;20;50;2.914654016494751;0.3666784349304455;[0.1 0.1]
coKNN;10;100;0.0374608039855957;0.3718948757839334;[0.1 0.1]
NcoK;10;100;3.003178834915161;0.3655339431378213;[0.1 0.1]
coKNN;5;200;0.0156822204589843;0.3811304957376944;[0.1 0.1]
NcoK;5;200;5.203769683837891;0.3636072829660913;[0.1 0.1]
coK;1000;1;0.0840082168579101;0.3613964954285706;[0.1 0.1]
coKNN;100;10;0.4651165008544922;0.4001175960713335;[0.1 0.1]
NcoK;100;10;4.020457267761231;0.3874109595585742;[0.1 0.1]
coKNN;50;20;0.1802136898040771;0.4002456727672964;[0.1 0.1]
NcoK;50;20;3.4323322772979736;0.3796810814428066;[0.1 0.1]
coKNN;20;50;0.069009780883789;0.4103246311828959;[0.1 0.1]
NcoK;20;50;2.914402484893799;0.3868969588608583;[0.1 0.1]
coKNN;10;100;0.0528960227966308;0.4135632650116204;[0.1 0.1]
NcoK;10;100;3.0194971561431885;0.3938735084891427;[0.1 0.1]
coKNN;5;200;0.0313408374786376;0.4240008513444209;[0.1 0.1]
NcoK;5;200;4.904523849487305;0.3958679355287759;[0.1 0.1]
coK;1000;1;0.0870046615600586;0.3956809074376442;[0.1 0.1]
coKNN;100;10;0.4351205825805664;0.4842943325896115;[0.1 0.1]
NcoK;100;10;3.89717435836792;0.5090319754830048;[0.1 0.1]
coKNN;50;20;0.1846599578857422;0.4968053779173522;[0.1 0.1]
NcoK;50;20;3.4370594024658203;0.5115315702446415;[0.1 0.1]
coKNN;20;50;0.078538179397583;0.5121036619620857;[0.1 0.1]
NcoK;20;50;2.904954195022583;0.518747523214077;[0.1 0.1]
coKNN;10;100;0.0470244884490966;0.52448313424733;[0.1 0.1]
NcoK;10;100;3.003129005432129;0.5204961337698213;[0.1 0.1]
coKNN;5;200;0.0319640636444091;0.5438119226617547;[0.1 0.1]
NcoK;5;200;5.036899089813232;0.5162128257493083;[0.1 0.1]
coK;1000;1;0.0841438770294189;0.4800609170645866;[0.1 0.1]
coKNN;100;10;0.4531035423278808;0.400871363118254;[0.1 0.1]
NcoK;100;10;3.981364727020264;0.3968714060593699;[0.1 0.1]
coKNN;50;20;0.1843805313110351;0.4118452388009684;[0.1 0.1]
NcoK;50;20;3.4328176975250244;0.4193895140335873;[0.1 0.1]
coKNN;20;50;0.0680785179138183;0.4026045846255533;[0.1 0.1]
NcoK;20;50;2.984896659851074;0.4245138017981503;[0.1 0.1]
coKNN;10;100;0.0493311882019043;0.3980967805965843;[0.1 0.1]
NcoK;10;100;3.177464723587036;0.4220873447622708;[0.1 0.1]
coKNN;5;200;0.0231916904449462;0.4017615496904288;[0.1 0.1]
NcoK;5;200;4.906048059463501;0.4064341606899072;[0.1 0.1]
coK;1000;1;0.078338623046875;0.3986907994876294;[0.1 0.1]
coKNN;100;10;0.4170012474060058;0.3777063988412144;[0.1 0.1]
NcoK;100;10;4.01742434501648;0.3779074353728613;[0.1 0.1]
coKNN;50;20;0.1776783466339111;0.3849422565535714;[0.1 0.1]
NcoK;50;20;3.4549949169158936;0.3858600428232647;[0.1 0.1]
coKNN;20;50;0.0626685619354248;0.3859157377956918;[0.1 0.1]
NcoK;20;50;3.1275839805603027;0.3939344852940248;[0.1 0.1]
coKNN;10;100;0.0526239871978759;0.3854785193303596;[0.1 0.1]
NcoK;10;100;3.1677699089050293;0.3891630689069937;[0.1 0.1]
coKNN;5;200;0.0317957401275634;0.404959189918391;[0.1 0.1]
NcoK;5;200;5.029472827911377;0.3833473467256537;[0.1 0.1]
coK;1000;1;0.0720338821411132;0.3731681740148119;[0.1 0.1]
coKNN;100;10;0.4473421573638916;0.3964606398391253;[0.1 0.1]
NcoK;100;10;3.997959613800049;0.4023230419802824;[0.1 0.1]
coKNN;50;20;0.1844747066497802;0.4108898497345932;[0.1 0.1]
NcoK;50;20;3.4485998153686523;0.4094769963869523;[0.1 0.1]
coKNN;20;50;0.067711591720581;0.419428338960812;[0.1 0.1]
NcoK;20;50;2.9363396167755127;0.405453742394151;[0.1 0.1]
coKNN;10;100;0.0514459609985351;0.423145807313136;[0.1 0.1]
NcoK;10;100;3.053630828857422;0.4251761336551158;[0.1 0.1]
